02110,NZM,AGC
12508,QLN,TVC
12509,SBC,BNC
12509,BNC,KJM
12509,KJM,BWT
12509,BWT,JTJ
12509,JTJ,KPD
12509,KPD,AJJ
12509,AJJ,MAS
12509,MAS,OGL
12509,OGL,BZA
12509,BZA,RJY
12509,RJY,VSKP
12509,VSKP,VZM
12509,VZM,CHE
12509,CHE,PSA
12509,PSA,BAM
12509,BAM,BALU
12509,BALU,KUR
12509,KUR,BBS
12509,BBS,CTC
12509,CTC,JJKR
12509,JJKR,BHC
12509,BHC,BLS
12509,BLS,KGP
12509,KGP,SRC
12509,SRC,HWH
12509,HWH,BHP
12509,BHP,RPH
12509,RPH,MLDT
12509,MLDT,BOE
12509,BOE,KNE
12509,KNE,NJP
12509,NJP,JPE
12509,JPE,DQG
12509,DQG,NCB
12509,NCB,NOQ
12509,NOQ,KOJ
12509,KOJ,NBQ
12509,NBQ,BPRD
12509,BPRD,RNY
12509,RNY,KYQ
12509,KYQ,GHY
12510,GHY,KYQ
12510,KYQ,RNY
12510,RNY,BPRD
12510,BPRD,NBQ
12510,NBQ,KOJ
12510,KOJ,NOQ
12510,NOQ,NCB
12510,NCB,DQG
12510,DQG,JPE
12510,JPE,NJP
12510,NJP,KNE
12510,KNE,BOE
12510,BOE,MLDT
12510,MLDT,NFK
12510,NFK,RPH
12510,RPH,BHP
12510,BHP,HWH
12510,HWH,KGP
12510,KGP,BLS
12510,BLS,BHC
12510,BHC,JJKR
12510,JJKR,CTC
12510,CTC,BBS
12510,BBS,KUR
12510,KUR,BALU
12510,BALU,BAM
12510,BAM,PSA
12510,PSA,CHE
12510,CHE,VZM
12510,VZM,VSKP
12510,VSKP,RJY
12510,RJY,BZA
12510,BZA,MAS
12510,MAS,AJJ
12510,AJJ,KPD
12510,KPD,JTJ
12510,JTJ,BWT
12510,BWT,KJM
12510,KJM,BNCE
12510,BNCE,BNC
12510,BNC,SBC
12511,GKP,KLD
12511,KLD,BST
12511,BST,MUR
12511,MUR,GD
12511,GD,BBK
12511,BBK,BNZ
12511,BNZ,LJN
12511,LJN,ON
12511,ON,CNB
12511,CNB,PHN
12511,PHN,ORAI
12511,ORAI,JHS
12511,JHS,LAR
12511,LAR,BPL
12511,BPL,ET
12511,ET,GDYA
12511,GDYA,BZU
12511,BZU,AMLA
12511,AMLA,PAR
12511,PAR,NGP
12511,NGP,SEGM
12511,SEGM,HGT
12511,HGT,CD
12511,CD,BPQ
12511,BPQ,SKZR
12511,SKZR,BPA
12511,BPA,MCI
12511,MCI,RDM
12511,RDM,WL
12511,WL,KMT
12511,KMT,BZA
12511,BZA,CLX
12511,CLX,OGL
12511,OGL,NLR
12511,NLR,GDR
12511,GDR,MAS
12511,MAS,KPD
12511,KPD,JTJ
12511,JTJ,SA
12511,SA,ED
12511,ED,TUP
12511,TUP,CBE
12511,CBE,PGT
12511,PGT,OTP
12511,OTP,WKI
12511,WKI,TCR
12511,TCR,IJK
12511,IJK,CKI
12511,CKI,AFK
12511,AFK,AWY
12511,AWY,ERN
12511,ERN,ERS
12511,ERS,SRTL
12511,SRTL,ALLP
12511,ALLP,AMPA
12511,AMPA,HAD
12511,HAD,KYJ
12511,KYJ,QLN
12511,QLN,TVC
12512,TVC,QLN
12512,QLN,KYJ
12512,KYJ,HAD
12512,HAD,AMPA
12512,AMPA,ALLP
12512,ALLP,SRTL
12512,SRTL,ERS
12512,ERS,AWY
12512,AWY,AFK
12512,AFK,CKI
12512,CKI,IJK
12512,IJK,TCR
12512,TCR,WKI
12512,WKI,OTP
12512,OTP,PGT
12512,PGT,CBE
12512,CBE,TUP
12512,TUP,ED
12512,ED,SA
12512,SA,JTJ
12512,JTJ,KPD
12512,KPD,MAS
12512,MAS,GDR
12512,GDR,NLR
12512,NLR,OGL
12512,OGL,CLX
12512,CLX,BZA
12512,BZA,KMT
12512,KMT,WL
12512,WL,RDM
12512,RDM,MCI
12512,MCI,BPA
12512,BPA,SKZR
12512,SKZR,BPQ
12512,BPQ,CD
12512,CD,HGT
12512,HGT,SEGM
12512,SEGM,NGP
12512,NGP,PAR
12512,PAR,AMLA
12512,AMLA,BZU
12512,BZU,GDYA
12512,GDYA,ET
12512,ET,BPL
12512,BPL,LAR
12512,LAR,JHS
12512,JHS,ORAI
12512,ORAI,PHN
12512,PHN,CNB
12512,CNB,ON
12512,ON,LJN
12512,LJN,BNZ
12512,BNZ,BBK
12512,BBK,GD
12512,GD,MUR
12512,MUR,BST
12512,BST,KLD
12512,KLD,GKP
12513,SC,BZA
12513,BZA,RJY
12513,RJY,VSKP
12513,VSKP,VZM
12513,VZM,CHE
12513,CHE,PSA
12513,PSA,BAM
12513,BAM,BALU
12513,BALU,KUR
12513,KUR,BBS
12513,BBS,CTC
12513,CTC,JJKR
12513,JJKR,BHC
12513,BHC,BLS
12513,BLS,KGP
12513,KGP,SRC
12513,SRC,HWH
12513,HWH,BHP
12513,BHP,RPH
12513,RPH,NFK
12513,NFK,MLDT
12513,MLDT,BOE
12513,BOE,KNE
12513,KNE,NJP
12513,NJP,NCB
12513,NCB,NOQ
12513,NOQ,NBQ
12513,NBQ,RNY
12513,RNY,KYQ
12513,KYQ,GHY
12514,GHY,KYQ
12514,KYQ,RNY
12514,RNY,NBQ
12514,NBQ,NOQ
12514,NOQ,NCB
12514,NCB,NJP
12514,NJP,KNE
12514,KNE,BOE
12514,BOE,MLDT
12514,MLDT,NFK
12514,NFK,RPH
12514,RPH,BHP
12514,BHP,HWH
12514,HWH,KGP
12514,KGP,BLS
12514,BLS,BHC
12514,BHC,JJKR
12514,JJKR,CTC
12514,CTC,BBS
12514,BBS,KUR
12514,KUR,BALU
12514,BALU,BAM
12514,BAM,PSA
12514,PSA,CHE
12514,CHE,VZM
12514,VZM,VSKP
12514,VSKP,RJY
12514,RJY,BZA
12514,BZA,SC
12515,TVC,QLN
12515,QLN,KYJ
12515,KYJ,CNGR
12515,CNGR,TRVL
12515,TRVL,KTYM
12515,KTYM,ERN
12515,ERN,AWY
12515,AWY,TCR
12515,TCR,PGT
12515,PGT,CBE
12515,CBE,TUP
12515,TUP,ED
12515,ED,SA
12515,SA,JTJ
12515,JTJ,KPD
12515,KPD,AJJ
12515,AJJ,MAS
12515,MAS,OGL
12515,OGL,BZA
12515,BZA,RJY
12515,RJY,VSKP
12515,VSKP,VZM
12515,VZM,CHE
12515,CHE,PSA
12515,PSA,BAM
12515,BAM,BALU
12515,BALU,KUR
12515,KUR,BBS
12515,BBS,CTC
12515,CTC,JJKR
12515,JJKR,BHC
12515,BHC,BLS
12515,BLS,KGP
12515,KGP,SRC
12515,SRC,HWH
12515,HWH,BHP
12515,BHP,RPH
12515,RPH,MLDT
12515,MLDT,KNE
12515,KNE,NJP
12515,NJP,DQG
12515,DQG,NCB
12515,NCB,NOQ
12515,NOQ,KOJ
12515,KOJ,NBQ
12515,NBQ,BPRD
12515,BPRD,RNY
12515,RNY,KYQ
12515,KYQ,GHY
12516,GHY,KYQ
12516,KYQ,RNY
12516,RNY,BPRD
12516,BPRD,NBQ
12516,NBQ,KOJ
12516,KOJ,NOQ
12516,NOQ,NCB
12516,NCB,DQG
12516,DQG,NJP
12516,NJP,KNE
12516,KNE,MLDT
12516,MLDT,NFK
12516,NFK,RPH
12516,RPH,BHP
12516,BHP,HWH
12516,HWH,KGP
12516,KGP,BLS
12516,BLS,BHC
12516,BHC,JJKR
12516,JJKR,CTC
12516,CTC,BBS
12516,BBS,KUR
12516,KUR,BALU
12516,BALU,BAM
12516,BAM,PSA
12516,PSA,CHE
12516,CHE,VZM
12516,VZM,VSKP
12516,VSKP,RJY
12516,RJY,BZA
12516,BZA,MAS
12516,MAS,AJJ
12516,AJJ,KPD
12516,KPD,JTJ
12516,JTJ,SA
12516,SA,ED
12516,ED,TUP
12516,TUP,CBE
12516,CBE,PGT
12516,PGT,TCR
12516,TCR,AWY
12516,AWY,ERN
12516,ERN,KTYM
12516,KTYM,TRVL
12516,TRVL,CNGR
12516,CNGR,KYJ
12516,KYJ,QLN
12516,QLN,TVP
12516,TVP,TVC
12519,LTT,TNA
12519,TNA,KYN
12519,KYN,IGP
12519,IGP,NK
12519,NK,MMR
12519,MMR,JL
12519,JL,BSL
12519,BSL,KNW
12519,KNW,ET
12519,ET,JBP
12519,JBP,KTE
12519,KTE,STA
12519,STA,MZP
12519,MZP,MGS
12519,MGS,PNBE
12519,PNBE,BGS
12519,BGS,KGG
12519,KGG,NNA
12519,NNA,KIR
12519,KIR,KNE
12519,KNE,NJP
12519,NJP,NCB
12519,NCB,NBQ
12519,NBQ,RNY
12519,RNY,KYQ
12520,KYQ,RNY
12520,RNY,NBQ
12520,NBQ,NCB
12520,NCB,NJP
12520,NJP,KNE
12520,KNE,KIR
12520,KIR,NNA
12520,NNA,KGG
12520,KGG,BGS
12520,BGS,PNBE
12520,PNBE,MGS
12520,MGS,MZP
12520,MZP,STA
12520,STA,KTE
12520,KTE,JBP
12520,JBP,ET
12520,ET,KNW
12520,KNW,BSL
12520,BSL,JL
12520,JL,MMR
12520,MMR,NK
12520,NK,IGP
12520,IGP,KYN
12520,KYN,TNA
12520,TNA,LTT
12521,BJU,SPJ
12521,SPJ,MFP
12521,MFP,HJP
12521,HJP,SEE
12521,SEE,CPR
12521,CPR,SV
12521,SV,BTT
12521,BTT,DEOS
12521,DEOS,GKP
12521,GKP,KLD
12521,KLD,BST
12521,BST,MUR
12521,MUR,GD
12521,GD,BBK
12521,BBK,BNZ
12521,BNZ,LJN
12521,LJN,ON
12521,ON,CNB
12521,CNB,PHN
12521,PHN,ORAI
12521,ORAI,JHS
12521,JHS,LAR
12521,LAR,BPL
12521,BPL,ET
12521,ET,GDYA
12521,GDYA,BZU
12521,BZU,AMLA
12521,AMLA,PAR
12521,PAR,NGP
12521,NGP,SEGM
12521,SEGM,HGT
12521,HGT,CD
12521,CD,BPQ
12521,BPQ,SKZR
12521,SKZR,BPA
12521,BPA,MCI
12521,MCI,RDM
12521,RDM,WL
12521,WL,KMT
12521,KMT,BZA
12521,BZA,CLX
12521,CLX,OGL
12521,OGL,NLR
12521,NLR,GDR
12521,GDR,MAS
12521,MAS,KPD
12521,KPD,JTJ
12521,JTJ,SA
12521,SA,ED
12521,ED,TUP
12521,TUP,CBE
12521,CBE,PGT
12521,PGT,OTP
12521,OTP,SRR
12521,SRR,WKI
12521,WKI,TCR
12521,TCR,IJK
12521,IJK,CKI
12521,CKI,AFK
12521,AFK,AWY
12521,AWY,ERN
12521,ERN,ERS
12522,ERS,AWY
12522,AWY,AFK
12522,AFK,CKI
12522,CKI,IJK
12522,IJK,TCR
12522,TCR,WKI
12522,WKI,OTP
12522,OTP,PGT
12522,PGT,CBE
12522,CBE,TUP
12522,TUP,ED
12522,ED,SA
12522,SA,JTJ
12522,JTJ,KPD
12522,KPD,MAS
12522,MAS,GDR
12522,GDR,NLR
12522,NLR,OGL
12522,OGL,CLX
12522,CLX,BZA
12522,BZA,KMT
12522,KMT,WL
12522,WL,RDM
12522,RDM,MCI
12522,MCI,BPA
12522,BPA,SKZR
12522,SKZR,BPQ
12522,BPQ,CD
12522,CD,HGT
12522,HGT,SEGM
12522,SEGM,NGP
12522,NGP,PAR
12522,PAR,AMLA
12522,AMLA,BZU
12522,BZU,GDYA
12522,GDYA,ET
12522,ET,BPL
12522,BPL,LAR
12522,LAR,JHS
12522,JHS,ORAI
12522,ORAI,PHN
12522,PHN,CNB
12522,CNB,ON
12522,ON,LJN
12522,LJN,BNZ
12522,BNZ,BBK
12522,BBK,GD
12522,GD,MUR
12522,MUR,BST
12522,BST,KLD
12522,KLD,GKP
12522,GKP,DEOS
12522,DEOS,BTT
12522,BTT,SV
12522,SV,CPR
12522,CPR,SEE
12522,SEE,HJP
12522,HJP,MFP
12522,MFP,SPJ
12522,SPJ,BJU
12523,NJP,KNE
12523,KNE,KIR
12523,KIR,KGG
12523,KGG,ROA
12523,ROA,SPJ
12523,SPJ,MFP
12523,MFP,HJP
12523,HJP,SEE
12523,SEE,CPR
12523,CPR,SV
12523,SV,DEOS
12523,DEOS,GKP
12523,GKP,GD
12523,GD,LKO
12523,LKO,MB
12523,MB,GZB
12523,GZB,NDLS
12524,NDLS,GZB
12524,GZB,MB
12524,MB,LKO
12524,LKO,GD
12524,GD,GKP
12524,GKP,DEOS
12524,DEOS,SV
12524,SV,CPR
12524,CPR,SEE
12524,SEE,HJP
12524,HJP,MFP
12524,MFP,SPJ
12524,SPJ,ROA
12524,ROA,KGG
12524,KGG,KIR
12524,KIR,KNE
12524,KNE,NJP
12525,KOAA,BDC
12525,BDC,NDAE
12525,NDAE,KWAE
12525,KWAE,AZ
12525,AZ,MLDT
12525,MLDT,NJP
12525,NJP,NCB
12525,NCB,FKM
12525,FKM,NBQ
12525,NBQ,KYQ
12525,KYQ,GHY
12525,GHY,JID
12525,JID,CPK
12525,CPK,HJI
12525,HJI,LMG
12525,LMG,DPU
12525,DPU,DMV
12525,DMV,BXJ
12525,BXJ,MXN
12525,MXN,SLGR
12525,SLGR,NTSK
12525,NTSK,DBRG
12526,DBRG,NTSK
12526,NTSK,SLGR
12526,SLGR,MXN
12526,MXN,BXJ
12526,BXJ,DMV
12526,DMV,DPU
12526,DPU,LMG
12526,LMG,HJI
12526,HJI,CPK
12526,CPK,JID
12526,JID,GHY
12526,GHY,KYQ
12526,KYQ,NBQ
12526,NBQ,FKM
12526,FKM,NCB
12526,NCB,NJP
12526,NJP,MLDT
12526,MLDT,AZ
12526,AZ,KWAE
12526,KWAE,NDAE
12526,NDAE,BDC
12526,BDC,KOAA
12531,GKP,SWA
12531,SWA,KLD
12531,KLD,BST
12531,BST,BV
12531,BV,MUR
12531,MUR,GD
12531,GD,CLJ
12531,CLJ,BBK
12531,BBK,BNZ
12531,BNZ,LJN
12532,LJN,BNZ
12532,BNZ,BBK
12532,BBK,CLJ
12532,CLJ,GD
12532,GD,MUR
12532,MUR,BV
12532,BV,BST
12532,BST,KLD
12532,KLD,SWA
12532,SWA,GKP
12533,LJN,ON
12533,ON,CNB
12533,CNB,ORAI
12533,ORAI,JHS
12533,JHS,LAR
12533,LAR,BPL
12533,BPL,HBJ
12533,HBJ,ET
12533,ET,KNW
12533,KNW,BSL
12533,BSL,MMR
12533,MMR,NK
12533,NK,KYN
12533,KYN,DR
12533,DR,CSTM
12534,CSTM,KYN
12534,KYN,NK
12534,NK,MMR
12534,MMR,BSL
12534,BSL,KNW
12534,KNW,ET
12534,ET,HBJ
12534,HBJ,BPL
12534,BPL,LAR
12534,LAR,JHS
12534,JHS,ORAI
12534,ORAI,CNB
12534,CNB,ON
12534,ON,LJN
12537,MFP,BMKI
12537,BMKI,SGL
12537,SGL,BTH
12537,BTH,CAI
12537,CAI,NKE
12537,NKE,HIR
12537,HIR,BUG
12537,BUG,GKP
12537,GKP,DEOS
12537,DEOS,MAU
12537,MAU,BSB
12537,BSB,MUV
12538,MUV,BSB
12538,BSB,MAU
12538,MAU,DEOS
12538,DEOS,GKP
12538,GKP,BUG
12538,BUG,HIR
12538,HIR,NKE
12538,NKE,CAI
12538,CAI,BTH
12538,BTH,SGL
12538,SGL,BMKI
12538,BMKI,MFP
12539,YPR,BWT
12539,BWT,JTJ
12539,JTJ,KPD
12539,KPD,RU
12539,RU,BZA
12539,BZA,WL
12539,WL,BPQ
12539,BPQ,NGP
12539,NGP,ET
12539,ET,JBP
12539,JBP,STA
12539,STA,MKP
12539,MKP,ALD
12539,ALD,PBH
12539,PBH,AME
12539,AME,RBL
12539,RBL,LKO
12540,LKO,RBL
12540,RBL,AME
12540,AME,PBH
12540,PBH,ALD
12540,ALD,MKP
12540,MKP,STA
12540,STA,JBP
12540,JBP,ET
12540,ET,NGP
12540,NGP,BPQ
12540,BPQ,WL
12540,WL,BZA
12540,BZA,RU
12540,RU,KPD
12540,KPD,JTJ
12540,JTJ,BWT
12540,BWT,YPR
12541,GKP,BST
12541,BST,GD
12541,GD,LJN
12541,LJN,CNB
12541,CNB,PHN
12541,PHN,ORAI
12541,ORAI,JHS
12541,JHS,BPL
12541,BPL,ET
12541,ET,KNW
12541,KNW,BSL
12541,BSL,IGP
12541,IGP,LTT
12542,LTT,IGP
12542,IGP,BSL
12542,BSL,KNW
12542,KNW,ET
12542,ET,BPL
12542,BPL,JHS
12542,JHS,ORAI
12542,ORAI,PHN
12542,PHN,CNB
12542,CNB,LJN
12542,LJN,GD
12542,GD,BST
12542,BST,GKP
12547,AF,BTE
12547,BTE,JP
12547,JP,AII
12547,AII,BER
12547,BER,MJ
12547,MJ,FA
12547,FA,ABR
12547,ABR,PNU
12547,PNU,MSH
12547,MSH,ADI
12548,ADI,MSH
12548,MSH,PNU
12548,PNU,ABR
12548,ABR,FA
12548,FA,MJ
12548,MJ,BER
12548,BER,AII
12548,AII,JP
12548,JP,BTE
12548,BTE,AF
12549,DURG,R
12549,R,BYT
12549,BYT,BSP
12549,BSP,PND
12549,PND,APR
12549,APR,SDL
12549,SDL,UMR
12549,UMR,KMZ
12549,KMZ,SGO
12549,SGO,JHS
12549,JHS,AGC
12549,AGC,DSJ
12549,DSJ,UMB
12549,UMB,LDH
12549,LDH,JRC
12549,JRC,CHKB
12549,CHKB,JAT
12550,JAT,CHKB
12550,CHKB,JRC
12550,JRC,LDH
12550,LDH,UMB
12550,UMB,DSJ
12550,DSJ,AGC
12550,AGC,JHS
12550,JHS,SGO
12550,SGO,KMZ
12550,KMZ,UMR
12550,UMR,SDL
12550,SDL,APR
12550,APR,PND
12550,PND,BSP
12550,BSP,BYT
12550,BYT,R
12550,R,DURG
12553,BJU,DSS
12553,DSS,SPJ
12553,SPJ,MFP
12553,MFP,HJP
12553,HJP,SEE
12553,SEE,CPR
12553,CPR,SV
12553,SV,DEOS
12553,DEOS,GKP
12553,GKP,KLD
12553,KLD,BST
12553,BST,GD
12553,GD,BBK
12553,BBK,LJN
12553,LJN,CNB
12553,CNB,ETW
12553,ETW,TDL
12553,TDL,ALJN
12553,ALJN,GZB
12553,GZB,NDLS
12554,NDLS,GZB
12554,GZB,ALJN
12554,ALJN,TDL
12554,TDL,ETW
12554,ETW,CNB
12554,CNB,LJN
12554,LJN,BBK
12554,BBK,GD
12554,GD,BST
12554,BST,KLD
12554,KLD,GKP
12554,GKP,DEOS
12554,DEOS,SV
12554,SV,CPR
12554,CPR,SEE
12554,SEE,HJP
12554,HJP,MFP
12554,MFP,SPJ
12554,SPJ,DSS
12554,DSS,BJU
12555,GKP,KLD
12555,KLD,BST
12555,BST,GD
12555,GD,BBK
12555,BBK,LKO
12555,LKO,ON
12555,ON,CNB
12555,CNB,NDLS
12555,NDLS,SSB
12555,SSB,NNO
12555,NNO,BGZ
12555,BGZ,ROK
12555,ROK,BNW
12555,BNW,HSR
12556,HSR,BNW
12556,BNW,ROK
12556,ROK,BGZ
12556,BGZ,NNO
12556,NNO,SSB
12556,SSB,NDLS
12556,NDLS,CNB
12556,CNB,ON
12556,ON,LKO
12556,LKO,BBK
12556,BBK,GD
12556,GD,BST
12556,BST,KLD
12556,KLD,GKP
12557,MFP,MTR
12557,MTR,MAI
12557,MAI,CAA
12557,CAA,BMKI
12557,BMKI,SGL
12557,SGL,BTH
12557,BTH,NKE
12557,NKE,HIR
12557,HIR,BUG
12557,BUG,SBZ
12557,SBZ,GKP
12557,GKP,LKO
12557,LKO,MB
12557,MB,ANVT
12558,ANVT,MB
12558,MB,LKO
12558,LKO,GKP
12558,GKP,SBZ
12558,SBZ,BUG
12558,BUG,HIR
12558,HIR,NKE
12558,NKE,BTH
12558,BTH,SGL
12558,SGL,BMKI
12558,BMKI,CAA
12558,CAA,MAI
12558,MAI,MTR
12558,MTR,MFP
12559,BSB,MUV
12559,MUV,ALD
12559,ALD,CNB
12559,CNB,NDLS
12560,NDLS,CNB
12560,CNB,ALD
12560,ALD,MUV
12560,MUV,BSB
12561,DBG,SPJ
12561,SPJ,MFP
12561,MFP,HJP
12561,HJP,SEE
12561,SEE,CPR
12561,CPR,SIP
12561,SIP,BUI
12561,BUI,YFP
12561,YFP,GCT
12561,GCT,ARJ
12561,ARJ,BSB
12561,BSB,ALD
12561,ALD,CNB
12561,CNB,ALJN
12561,ALJN,GZB
12561,GZB,NDLS
12562,NDLS,ALJN
12562,ALJN,CNB
12562,CNB,ALD
12562,ALD,GYN
12562,GYN,BSB
12562,BSB,ARJ
12562,ARJ,GCT
12562,GCT,YFP
12562,YFP,BUI
12562,BUI,SIP
12562,SIP,CPR
12562,CPR,SEE
12562,SEE,HJP
12562,HJP,MFP
12562,MFP,SPJ
12562,SPJ,DBG
12565,DBG,SPJ
12565,SPJ,MFP
12565,MFP,HJP
12565,HJP,SEE
12565,SEE,CPR
12565,CPR,SV
12565,SV,GKP
12565,GKP,LKO
12565,LKO,CNB
12565,CNB,NDLS
12566,NDLS,CNB
12566,CNB,LKO
12566,LKO,GKP
12566,GKP,SV
12566,SV,CPR
12566,CPR,SEE
12566,SEE,HJP
12566,HJP,MFP
12566,MFP,SPJ
12566,SPJ,DBG
12567,SHC,SBV
12567,SBV,MNE
12567,MNE,KGG
12567,KGG,BGS
12567,BGS,MKA
12567,MKA,BKP
12567,BKP,PNBE
12568,PNBE,BKP
12568,BKP,MKA
12568,MKA,BGS
12568,BGS,KGG
12568,KGG,MNE
12568,MNE,SBV
12568,SBV,SHC
12577,DBG,SPJ
12577,SPJ,BJU
12577,BJU,MKA
12577,MKA,PNBE
12577,PNBE,DNR
12577,DNR,ARA
12577,ARA,BXR
12577,BXR,MGS
12577,MGS,MZP
12577,MZP,COI
12577,COI,STA
12577,STA,KTE
12577,KTE,JBP
12577,JBP,NU
12577,NU,PPI
12577,PPI,ET
12577,ET,GDYA
12577,GDYA,BZU
12577,BZU,PAR
12577,PAR,NGP
12577,NGP,SEGM
12577,SEGM,CD
12577,CD,BPQ
12577,BPQ,SKZR
12577,SKZR,RDM
12577,RDM,WL
12577,WL,BZA
12577,BZA,OGL
12577,OGL,GDR
12577,GDR,MAS
12577,MAS,AJJ
12577,AJJ,KPD
12577,KPD,JTJ
12577,JTJ,BNCE
12577,BNCE,BNC
12577,BNC,SBC
12577,SBC,KGI
12577,KGI,MYA
12577,MYA,MYS
12578,MYS,MYA
12578,MYA,KGI
12578,KGI,SBC
12578,SBC,BNC
12578,BNC,JTJ
12578,JTJ,KPD
12578,KPD,AJJ
12578,AJJ,MAS
12578,MAS,GDR
12578,GDR,OGL
12578,OGL,BZA
12578,BZA,WL
12578,WL,RDM
12578,RDM,SKZR
12578,SKZR,BPQ
12578,BPQ,CD
12578,CD,SEGM
12578,SEGM,NGP
12578,NGP,PAR
12578,PAR,BZU
12578,BZU,GDYA
12578,GDYA,ET
12578,ET,PPI
12578,PPI,NU
12578,NU,JBP
12578,JBP,KTE
12578,KTE,STA
12578,STA,COI
12578,COI,MZP
12578,MZP,MGS
12578,MGS,BXR
12578,BXR,ARA
12578,ARA,DNR
12578,DNR,PNBE
12578,PNBE,MKA
12578,MKA,BJU
12578,BJU,SPJ
12578,SPJ,DBG
12587,GKP,KLD
12587,KLD,BST
12587,BST,GD
12587,GD,LKO
12587,LKO,SPN
12587,SPN,BE
12587,BE,MB
12587,MB,LRJ
12587,LRJ,RK
12587,RK,SRE
12587,SRE,JUD
12587,JUD,UMB
12587,UMB,LDH
12587,LDH,JRC
12587,JRC,CHKB
12587,CHKB,KTHU
12587,KTHU,JAT
12588,JAT,KTHU
12588,KTHU,CHKB
12588,CHKB,JRC
12588,JRC,LDH
12588,LDH,UMB
12588,UMB,JUD
12588,JUD,SRE
12588,SRE,RK
12588,RK,LRJ
12588,LRJ,MB
12588,MB,BE
12588,BE,SPN
12588,SPN,LKO
12588,LKO,GD
12588,GD,BST
12588,BST,KLD
12588,KLD,GKP
12589,GKP,KLD
12589,KLD,BST
12589,BST,MUR
12589,MUR,GD
12589,GD,BBK
12589,BBK,BNZ
12589,BNZ,LJN
12589,LJN,ON
12589,ON,CNB
12589,CNB,PHN
12589,PHN,ORAI
12589,ORAI,JHS
12589,JHS,LAR
12589,LAR,BPL
12589,BPL,ET
12589,ET,GDYA
12589,GDYA,BZU
12589,BZU,AMLA
12589,AMLA,PAR
12589,PAR,NGP
12589,NGP,SEGM
12589,SEGM,HGT
12589,HGT,CD
12589,CD,BPQ
12589,BPQ,SKZR
12589,SKZR,BPA
12589,BPA,MCI
12589,MCI,RDM
12589,RDM,KZJ
12589,KZJ,SC
12590,SC,KZJ
12590,KZJ,RDM
12590,RDM,MCI
12590,MCI,BPA
12590,BPA,SKZR
12590,SKZR,BPQ
12590,BPQ,CD
12590,CD,HGT
12590,HGT,SEGM
12590,SEGM,NGP
12590,NGP,PAR
12590,PAR,AMLA
12590,AMLA,BZU
12590,BZU,GDYA
12590,GDYA,ET
12590,ET,BPL
12590,BPL,LAR
12590,LAR,JHS
12590,JHS,ORAI
12590,ORAI,PHN
12590,PHN,CNB
12590,CNB,ON
12590,ON,LJN
12590,LJN,BNZ
12590,BNZ,BBK
12590,BBK,GD
12590,GD,MUR
12590,MUR,BST
12590,BST,KLD
12590,KLD,GKP
12591,GKP,KLD
12591,KLD,BST
12591,BST,MUR
12591,MUR,GD
12591,GD,BBK
12591,BBK,BNZ
12591,BNZ,LJN
12591,LJN,ON
12591,ON,CNB
12591,CNB,PHN
12591,PHN,ORAI
12591,ORAI,JHS
12591,JHS,LAR
12591,LAR,BPL
12591,BPL,ET
12591,ET,GDYA
12591,GDYA,BZU
12591,BZU,AMLA
12591,AMLA,PAR
12591,PAR,NGP
12591,NGP,SEGM
12591,SEGM,HGT
12591,HGT,CD
12591,CD,BPQ
12591,BPQ,SKZR
12591,SKZR,BPA
12591,BPA,MCI
12591,MCI,RDM
12591,RDM,KZJ
12591,KZJ,SC
12591,SC,BMT
12591,BMT,RC
12591,RC,GTL
12591,GTL,ATP
12591,ATP,DMM
12591,DMM,HUP
12591,HUP,YPR
12592,YPR,HUP
12592,HUP,DMM
12592,DMM,ATP
12592,ATP,GTL
12592,GTL,AD
12592,AD,RC
12592,RC,BMT
12592,BMT,SC
12592,SC,KZJ
12592,KZJ,RDM
12592,RDM,MCI
12592,MCI,BPA
12592,BPA,SKZR
12592,SKZR,BPQ
12592,BPQ,CD
12592,CD,HGT
12592,HGT,SEGM
12592,SEGM,NGP
12592,NGP,PAR
12592,PAR,AMLA
12592,AMLA,BZU
12592,BZU,GDYA
12592,GDYA,ET
12592,ET,BPL
12592,BPL,LAR
12592,LAR,JHS
12592,JHS,ORAI
12592,ORAI,PHN
12592,PHN,CNB
12592,CNB,ON
12592,ON,LJN
12592,LJN,BNZ
12592,BNZ,BBK
12592,BBK,GD
12592,GD,MUR
12592,MUR,BST
12592,BST,KLD
12592,KLD,GKP
12601,MAS,TRL
12601,TRL,AJJ
12601,AJJ,WJR
12601,WJR,KPD
12601,KPD,JTJ
12601,JTJ,SA
12601,SA,ED
12601,ED,TUP
12601,TUP,PTJ
12601,PTJ,PGT
12601,PGT,OTP
12601,OTP,SRR
12601,SRR,PTB
12601,PTB,KTU
12601,KTU,TIR
12601,TIR,TA
12601,TA,PGI
12601,PGI,FK
12601,FK,CLT
12601,CLT,QLD
12601,QLD,BDJ
12601,BDJ,MAHE
12601,MAHE,TLY
12601,TLY,CAN
12601,CAN,PAZ
12601,PAZ,PAY
12601,PAY,CHV
12601,CHV,KZE
12601,KZE,KGQ
12601,KGQ,MAQ
12602,MAQ,MJS
12602,MJS,KGQ
12602,KGQ,KZE
12602,KZE,CHV
12602,CHV,PAY
12602,PAY,PAZ
12602,PAZ,CAN
12602,CAN,TLY
12602,TLY,MAHE
12602,MAHE,BDJ
12602,BDJ,QLD
12602,QLD,CLT
12602,CLT,FK
12602,FK,PGI
12602,PGI,TA
12602,TA,TIR
